jednotka,ingredient_match_nebo_prazdno,pocet_blokovanych_receptu,priklad_id_receptu
large,vejce,19,44
,citronova stava,9,139
,jarni cibulka,9,34
small,cibule,5,515
,bobkovy list,4,149
servings,javorovy sirup,4,45
,banany,3,487
,citronova kura,3,135
,houby,3,52
,jahody,3,56
,sladke brambory,3,52
,testoviny,3,178
large,rajce,3,130
large,zloutky,3,48
servings,jarni cibulka,3,169
strips,slanina,3,528
,croissant,2,542
,muffiny,2,509
cm,zazvor,2,124
large,bilek,2,501
medium,banan,2,485
medium,cibule,2,136
pkg,spenat,2,526
scoop,proteinovy prasek,2,493
servings,jahody,2,542
servings,maslo,2,511
servings,ryze,2,130
servings,testo na kolac,2,526
small,banan,2,33
small,jablko,2,33
stick,maslo,2,528
,bilek,1,34
,boruvky,1,43
,celer,1,149
,celozrnna pita,1,192
,cervena repa,1,137
,chrest,1,503
,corn tortillas,1,648
,kachni vejce,1,522
,kaki,1,502
,koktejlove tresne,1,534
,kost s uzeninou,1,621
,kureci palicky,1,130
,kureci prsa bez kuze a kosti,1,169
,lime kura,1,132
,mandle,1,251
,mangostana,1,57
,muffins,1,50
,pasta omacka,1,178
,pastinak,1,133
,pch salt,1,76
,pita,1,649
,pomeranc,1,502
,pomerancova stava,1,619
,raspberries and mint leaves,1,59
,smetana,1,522
,t cream,1,47
,testo na kolac,1,538
,testo na kolac o prumeru 23 cm,1,555
,vanilkovy lusk,1,609
,zazvor,1,498
,zelena dyne,1,178
,zelene cibule,1,169
,zloutky,1,524
9-inch,testo na kolac,1,562
cups,nizkotucny recky jogurt,1,603
dash,muskatovy orisek,1,538
drops,paliva omacka,1,50
drops,stevie,1,565
extra large,vejce,1,43
jumbo,vejce,1,533
kgs,veprova plec,1,628
ks,brie,1,143
ks,grilovana kureci prsa,1,123
ks,houby,1,261
ks,jarni cibulka,1,147
ks,kopr,1,143
ks,koreni v kostce,1,124
ks,kukurice,1,174
ks,kureci kousky,1,124
ks,mata,1,209
ks,poznamka: pouzil jsem pomerance,1,83
ks,ricotta,1,182
ks,testoviny,1,182
l,kureci vyvar,1,498
l,mleko,1,581
large,banan,1,490
large,broskev,1,70
large,jahody,1,513
large,maslova dyne,1,46
large,mozzarella,1,647
large,mrkev,1,149
large,pomeranc,1,130
large,salotka,1,614
large,testoviny,1,554
large,tortilla,1,44
large knob,maslo,1,522
lb,jahody,1,603
Lb,boruvky,1,603
leaf,salat (napr. ledovy),1,646
medium,avokado,1,609
medium,cuketa,1,612
medium,fiky,1,654
medium,kvetak,1,638
medium,redkvicky,1,630
medium,ruzickova kapusta,1,623
medium,salotka,1,508
medium head,kvetak,1,525
medium size,rajce,1,635
pieces,houby,1,527
pieces,krevety,1,527
pieces,kruti klobasa,1,518
pieces,naan,1,654
pieces,slanina,1,518
pkg,knorr hollandaise sauce mix,1,50
pkg,omacka hollandaise knorr,1,564
pkg,tofu,1,601
pkg,udon s krevetami,1,551
porcí,cesnekovy prasek,1,250
pts,cottage,1,53
pts,cukrovy hrasek,1,630
scoops,proteinovy prasek,1,530
serving,banan,1,574
serving,bily jogurt,1,606
serving,boruvky,1,589
serving,broskev,1,606
serving,cerstve ovoce,1,583
serving,cokolada a extra kakaovy prasek,1,586
serving,crepes,1,589
serving,dzem,1,589
serving,feta,1,589
serving,granola,1,606
serving,jarni cibulka,1,503
serving,maliny,1,589
serving,med,1,606
serving,orechy,1,606
serving,salt & pepper,1,646
serving,sriracha,1,44
servings,amaretti,1,255
servings,barbecue omacka,1,528
servings,brusinkovo-pomerancova omacka,1,584
servings,chilli pasta,1,179
servings,chilli vlocky,1,623
servings,citronova kura,1,142
servings,citronova stava,1,623
servings,cokoladove kousky,1,601
servings,cracked pepper,1,648
servings,crust,1,491
servings,dzem,1,584
servings,estragon,1,137
servings,feta,1,536
servings,habanero omacka a chile,1,132
servings,hrnec. odlomte a odhodte tvrde konce z,1,508
servings,jedle kvety,1,602
servings,kandovana pomerancova kura,1,602
servings,kokosove vlocky,1,534
servings,krupavy chleb k podavani,1,536
servings,lehce oslazena slehacka nebo,1,80
servings,limetka,1,179
servings,mak,1,582
servings,mata,1,55
servings,orechy,1,602
servings,ovesne vlocky,1,499
servings,salt & pepper,1,644
servings,sezamova seminka,1,612
servings,slanina,1,563
servings,slazene kondenzovane mleko,1,256
servings,slunecnicova seminka,1,623
servings,tarragon stalks,1,137
servings,vanilkovy jogurt,1,80
servings,vejce,1,563
servings,vlasske orechy,1,521
servings,voda - prave tolik,1,523
servings,zelenina,1,249
sheets,zelatina,1,255
small,jarni cibulka,1,517
small,salotka,1,519
small,spenat,1,545
small handful,dynova seminka,1,565
velká svazek,svycarsky mangold,1,177
velké plátky,cheddar,1,43
