nazev_suroviny,pocet_blokovanych_receptu,priklad_id_receptu
olive oil,10,52
garlic,6,51
honey,6,42
smes smetany a mleka,5,526
smetana ke slehani,5,515
banany,4,487
butter,4,48
lemon juice,4,133
vanilka,4,252
water,4,31
extra virgin olive oil,3,137
non-fat milk,3,37
salt,3,70
baking powder,2,77
cayenne pepper,2,53
feta cheese,2,503
goat cheese,2,46
mascarpone,2,556
matcha prasek,2,485
muffiny,2,509
parsley,2,50
pesto,2,131
potravinarske barvivo,2,124
salt & pepper,2,644
syr asiago,2,79
vanilla almond milk,2,42
vanilla extract,2,41
vanilla yogurt,2,33
vinegar,2,51
worcestershire sauce,2,48
zlate rozinky,2,80
almond extract,1,78
alouette berries & cream spreadable cheese,1,59
alouette creme fraiche,1,526
amaretti,1,255
anyzova seminka,1,595
arenkha msc,1,522
arenkha msc caviar substitute,1,137
asafoetida,1,248
baby arugula,1,48
baby beets,1,137
baking soda,1,78
barbecue omacka,1,528
barbecue sauce,1,138
barbecue seasoning,1,138
basil,1,53
bel gioioso mozzarella,1,650
berries,1,251
berry cranberry sauce,1,652
bob's mill steel cut oats,1,70
bread,1,646
brusinkovo-pomerancova omacka,1,584
butternut squash,1,46
bylinkove koreni,1,618
cereal,1,55
cerna fazolova cesnekova omacka,1,527
challah chleb,1,516
chavrie goat cheese,1,652
chili,1,121
chilli flakes,1,51
chilli pasta,1,179
chobani yogurt,1,490
chorizo klobasa,1,536
cibulove vlocky,1,204
cinnamon,1,37
citronovy tymian,1,501
cizrna *1,1,628
coconut water,1,493
cokolada a extra kakaovy prasek,1,586
cokoladove hoblinky,1,601
collard greens,1,146
condensed milk,1,57
corn tortillas,1,648
corned beef hash,1,557
cracked pepper,1,648
cranberry,1,33
creamed wildflower honey,1,41
crepes,1,589
croissant,1,557
croissanty,1,542
crust,1,491
cukrovy hrasek,1,630
dale's seasoning,1,147
datle mejdool,1,605
diestel breakfast sausage,1,52
drozdi,1,486
dynove koreni,1,565
dzem,1,584
enchilada omacka,1,119
farro,1,623
figs,1,654
fiky mission,1,609
filet mignon steaks,1,648
filety z halibuta,1,199
flour,1,78
freshly cracked pepper,1,146
fruit,1,55
grain bread,1,51
grape preserves,1,42
grapes,1,42
grilovane kure,1,174
guacamole,1,648
habanero omacka a chile,1,132
herbed butter,1,653
himalajska sul,1,609
hnizda spenatovych fettuccine,1,554
hoisin sauce,1,138
horcicny prasek,1,206
horka cokolada,1,256
hot sauce,1,50
houbova polevka,1,123
hrasek a mrkev,1,527
hrnec. odlomte a odhodte tvrde konce z,1,508
hruba morska sul,1,617
jack cheese,1,82
jahodovy marshmallow,1,253
jedle kvety,1,602
